GEO_ID,FIPS,Census_Tract_Name,Total population,Area_km2,Population Density
1400000U,06037107020,1070.2,4921,0.993961036286493,4950.898295153696
1400000U,06037108101,1081.01,2128,1.128633510232644,1885.465902533195
1400000U,06037108102,1081.02,3477,2.183811750258488,1592.1702040427444
1400000U,06037108103,1081.03,3053,2.564933059203829,1190.2844750839893
1400000U,06037108104,1081.04,1754,0.8260186812247781,2123.43865806916
1400000U,06037108202,1082.02,10248,5.979134088368916,1713.9605582579625
1400000U,06037108203,1082.03,3157,1.3723816131829971,2300.380571755035
1400000U,06037108204,1082.04,1782,1.4327068032677461,1243.799496125501
1400000U,06037109100,1091,2861,2.705906690613617,1057.3165770735475
1400000U,06037109200,1092,2863,1.0169425975913295,2815.301479927317
1400000U,06037109300,1093,2905,1.2330908328728065,2355.868620993674
1400000U,06037109400,1094,3620,1.2908322013076945,2804.392388362106
1400000U,06037109500,1095,3907,1.1945120731935561,3270.791553872322
1400000U,06037109601,1096.01,5042,2.2478947928049395,2242.9875348875007
1400000U,06037109603,1096.03,4038,0.9988960214130863,4042.462792361162
1400000U,06037109604,1096.04,2721,1.1748775910144074,2315.985955311861
1400000U,06037109700,1097,4259,1.5868601710102384,2683.9163763802862
1400000U,06037109800,1098,4625,1.39940859177168,3304.9675607212434
1400000U,06037111100,1111,2965,1.059245160586644,2799.163130807119
1400000U,06037111201,1112.01,3275,1.912809267564071,1712.1414327789487
1400000U,06037111202,1112.02,5742,1.8666918380806383,3076.029949273263
1400000U,06037111204,1112.04,5902,3.3112833819854885,1782.3904870567387
1400000U,06037111205,1112.05,3627,1.1590601568251413,3129.2594941188872
1400000U,06037111206,1112.06,4295,2.6227433146376278,1637.5983025214268
1400000U,06037111302,1113.02,4967,1.5528001927028854,3198.7373670750126
1400000U,06037111303,1113.03,4567,1.5639017043773598,2920.260261381499
1400000U,06037111304,1113.04,3082,0.4374418422356337,7045.5080022725415
1400000U,06037111401,1114.01,2193,0.8408002038175201,2608.229624639755
1400000U,06037111402,1114.02,5998,0.9712312068738554,6175.666471123828
1400000U,06037113101,1131.01,3540,2.2679762362768123,1560.862915306108
1400000U,06037113102,1131.02,2980,3.670882167200167,811.7939678442165
1400000U,06037113211,1132.11,4138,7.2838210869468,568.1084077443408
1400000U,06037113212,1132.12,2872,0.9985506243451934,2876.168648818716
1400000U,06037113213,1132.13,5068,1.3008582409636205,3895.8895292432794
1400000U,06037113231,1132.31,2233,4.141164935409485,539.2202519891175
1400000U,06037113232,1132.32,4777,2.0658097805730726,2312.41038982535
1400000U,06037113234,1132.34,5640,1.0229181876583704,5513.637422862621
1400000U,06037113235,1132.35,1690,1.426744953979231,1184.5144398699595
1400000U,06037113237,1132.37,4765,4.747270705152118,1003.7346290003308
1400000U,06037113238,1132.38,4596,0.7096866624515611,6476.097471133882
1400000U,06037113239,1132.39,2134,0.4342513844949045,4914.2042517196405
1400000U,06037113301,1133.01,4255,2.254327100561859,1887.4811907018739
1400000U,06037113303,1133.03,3799,4.09582270292502,927.5303829159782
1400000U,06037113322,1133.22,4761,1.7868152731729947,2664.517183998266
1400000U,06037113323,1133.23,3904,0.7239221846783386,5392.844814853505
1400000U,06037113324,1133.24,2837,0.32446079362928587,8743.73747369128
1400000U,06037113423,1134.23,2845,0.7106725943304646,4003.2499109949745
1400000U,06037113424,1134.24,3133,1.7411293303066202,1799.4068249072948
1400000U,06037113425,1134.25,4254,0.3392959067059552,12537.728619539916
1400000U,06037113426,1134.26,2302,1.8660117185113472,1233.6471294169964
1400000U,06037113427,1134.27,2386,0.2592422381143709,9203.747110636188
1400000U,06037113428,1134.28,4120,1.2704894882230624,3242.844618700728
1400000U,06037115101,1151.01,5034,3.882378464394841,1296.627839394495
1400000U,06037115103,1151.03,2606,1.5186552034165235,1715.9918815918672
1400000U,06037115104,1151.04,4404,1.020180223848828,4316.884308328439
1400000U,06037115202,1152.02,6034,1.7413555313752984,3465.1166239638787
1400000U,06037115203,1152.03,1929,0.6047637306997015,3189.675408887665
1400000U,06037115204,1152.04,3953,0.7707775691562131,5128.587232147187
1400000U,06037115301,1153.01,4438,1.6412312353972964,2704.06747342076
1400000U,06037115302,1153.02,3839,0.8378155247854666,4582.1542886580255
1400000U,06037115401,1154.01,5637,1.9051677188375853,2958.7946217351123
1400000U,06037115403,1154.03,3379,0.7037436573852021,4801.46423280724
1400000U,06037115404,1154.04,2619,0.9533168285506298,2747.250359549178
1400000U,06037117101,1171.01,5233,0.7794897291920866,6713.366198453723
1400000U,06037117102,1171.02,2427,1.0387437867741303,2336.47606936564
1400000U,06037117201,1172.01,4108,0.7916517800032897,5189.150209430375
1400000U,06037117202,1172.02,2818,1.8138732166314073,1553.5815701790798
1400000U,06037117301,1173.01,3808,1.3319059637624824,2859.0607021856367
1400000U,06037117302,1173.02,4950,2.051818505699851,2412.4940808600486
1400000U,06037117303,1173.03,4162,1.8005947174543062,2311.458519596384
1400000U,06037117404,1174.04,5216,1.7656516267781417,2954.1501397520037
1400000U,06037117405,1174.05,3048,0.20183418434979616,15101.505276814512
1400000U,06037117407,1174.07,3185,0.1983279757605952,16059.25733767718
1400000U,06037117408,1174.08,2505,0.3765118362644302,6653.177294114863
1400000U,06037117510,1175.1,3790,0.33511216076608347,11309.64627286538
1400000U,06037117520,1175.2,4345,0.3257164341243041,13339.824291278483
1400000U,06037117530,1175.3,5741,0.5568812562309731,10309.199556931851
1400000U,06037119001,1190.01,4283,1.0732256760089394,3990.772952737598
1400000U,06037119003,1190.03,3332,0.8517120008142699,3912.1205252649697
